trial_id,random_order,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,n_images,img1,img1_role,img2,img2_role,img3,img3_role,img4,img4_role,between_image,audio_probe,between_audio,between_audio_lock_sec,source_dataset_folder
d019_set1_it_ic,81,19,019_sit_crack_egg,sit_crack_egg,1,it_ic,intransitive_incohesive,incohesive,intransitive,3,MainStimuli/019_sit_crack_egg/ic_1.png,ic_1,MainStimuli/019_sit_crack_egg/it_target.png,it_target,MainStimuli/019_sit_crack_egg/end_ic_it.png,end_ic_it,,,BetweenTrials/img_20260522_165652.jpg,0,,0,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/19_sit_crack egg
d028_set1_it_coh,82,28,028_jump_peel_orange,jump_peel_orange,1,it_coh,intransitive_cohesive,cohesive,intransitive,4,MainStimuli/028_jump_peel_orange/coh_1.png,coh_1,MainStimuli/028_jump_peel_orange/coh_2.png,coh_2,MainStimuli/028_jump_peel_orange/it_target.png,it_target,MainStimuli/028_jump_peel_orange/end_coh_it.png,end_coh_it,BetweenTrials/img-20250813-wa0011.jpg,0,,0,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/28_jump_peel orange
d029_set1_it_ic,83,29,029_sit_cut_potato,sit_cut_potato,1,it_ic,intransitive_incohesive,incohesive,intransitive,3,MainStimuli/029_sit_cut_potato/ic_1.png,ic_1,MainStimuli/029_sit_cut_potato/it_target.png,it_target,MainStimuli/029_sit_cut_potato/end_ic_it.png,end_ic_it,,,BetweenTrials/img_20260522_165652.jpg,0,,0,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/29_sit_cut potato
d006_set1_tr_ic,84,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,1,tr_ic,transitive_incohesive,incohesive,transitive,3,MainStimuli/006_sleep_pluck_tomatoes/ic_1.png,ic_1,MainStimuli/006_sleep_pluck_tomatoes/tr_target.png,tr_target,MainStimuli/006_sleep_pluck_tomatoes/end_ic_tr.png,end_ic_tr,,,BetweenTrials/img_20260522_165652.jpg,0,,0,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/6_sleep_pluck tomatoes
d009_set1_tr_coh,85,9,009_descend_harvest_rice,descend_harvest_rice,1,tr_coh,transitive_cohesive,cohesive,transitive,3,MainStimuli/009_descend_harvest_rice/coh_1.png,coh_1,MainStimuli/009_descend_harvest_rice/coh_2.png,coh_2,MainStimuli/009_descend_harvest_rice/tr_target.png,tr_target,,,BetweenTrials/1752221806065.jpg,0,,0,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/9_descend_harvest rice
d020_set1_tr_coh,86,20,020_come_plant_sapling,come_plant_sapling,1,tr_coh,transitive_cohesive,cohesive,transitive,3,MainStimuli/020_come_plant_sapling/coh_1.png,coh_1,MainStimuli/020_come_plant_sapling/coh_2.png,coh_2,MainStimuli/020_come_plant_sapling/tr_target.png,tr_target,,,BetweenTrials/img_20260522_165652.jpg,0,,0,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/20_come_plant sapling
d012_set1_tr_ic,87,12,012_come_eat_rice,come_eat_rice,1,tr_ic,transitive_incohesive,incohesive,transitive,3,MainStimuli/012_come_eat_rice/ic_1.png,ic_1,MainStimuli/012_come_eat_rice/tr_target.png,tr_target,MainStimuli/012_come_eat_rice/end_ic_tr.png,end_ic_tr,,,BetweenTrials/img-20250813-wa0011.jpg,0,,0,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/12_come_eat rice
d030_set1_it_coh,88,30,030_smile_make_momos,smile_make_momos,1,it_coh,intransitive_cohesive,cohesive,intransitive,4,MainStimuli/030_smile_make_momos/coh_1.png,coh_1,MainStimuli/030_smile_make_momos/coh_2.png,coh_2,MainStimuli/030_smile_make_momos/it_target.png,it_target,MainStimuli/030_smile_make_momos/end_coh_it.png,end_coh_it,BetweenTrials/1752221802086.jpg,0,,0,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/30_smile_make momos
d011_set1_tr_ic,89,11,011_ascend_wipe_plate,ascend_wipe_plate,1,tr_ic,transitive_incohesive,incohesive,transitive,3,MainStimuli/011_ascend_wipe_plate/ic_1.png,ic_1,MainStimuli/011_ascend_wipe_plate/tr_target.png,tr_target,MainStimuli/011_ascend_wipe_plate/end_ic_tr.png,end_ic_tr,,,BetweenTrials/img_20260522_165652.jpg,0,,0,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/11_ascend_wipe plate
d017_set1_it_coh,90,17,017_rest_hang_picture,rest_hang_picture,1,it_coh,intransitive_cohesive,cohesive,intransitive,4,MainStimuli/017_rest_hang_picture/coh_1.png,coh_1,MainStimuli/017_rest_hang_picture/coh_2.png,coh_2,MainStimuli/017_rest_hang_picture/it_target.png,it_target,MainStimuli/017_rest_hang_picture/end_coh_it.png,end_coh_it,BetweenTrials/img-20250813-wa0011.jpg,0,,0,/Users/matveikurzukov/Library/CloudStorage/GoogleDrive-apazent@gmail.com/.shortcut-targets-by-id/1exBA-7XrpLfZc6s8oGNYTbmjGsu5dT6p/Gurung stimuli/17_rest_hang picture
